T1234	30/09/2025	39	388409953.19
1	75432123.45
101	15234230.87
10101	7345123.56
10102	7891234.78
102	2345678.34
10201	1234567.12
10202	1111111.22
103	5432100.34
10301	2345678.45
10302	3086422.89
104	6212345.67
10401	3123456.78
10402	3088888.89
105	4321098.23
2	112345678.12
201	52345678.56
20101	23456789.12
20102	28888889.44
202	60000000.00
203	1000000.12
3	98765432.78
301	43210987.56
30101	12345678.34
30102	30865309.90
302	5555555.88
303	10000000.00
4	85743210.90
401	43210987.67
40101	12345678.12
40102	30865345.11
402	12500000.00
403	9680000.00
5	16123487.94
501	5432100.12
50101	1234567.89
50102	3087654.32
502	1500000.00
503	4123456.01
504	1057870.60
